Klasyfikacja modelu
Klasa,Procent
1,21.33
2,77.50
3,1.17

Klasyfikacja annotatorów
Annotator 1
Klasa,Procent
1,98.00
2,2.00
3,0.00
Annotator 2
Klasa,Procent
1,98.33
2,1.67
3,0.00
Annotator 3
Klasa,Procent
1,97.13
2,2.87
3,0.00
Annotator 4
Klasa,Procent
1,98.56
2,1.44
3,0.00
