Klasyfikacja modelu
Klasa,Procent
1,36.94
2,62.78
3,0.28

Klasyfikacja annotatorów
Annotator 1
Klasa,Procent
1,97.93
2,1.21
3,0.87
Annotator 2
Klasa,Procent
1,97.94
2,1.99
3,0.07
Annotator 3
Klasa,Procent
1,97.97
2,1.93
3,0.10
Annotator 4
Klasa,Procent
1,97.93
2,1.93
3,0.14
