Klasyfikacja modelu
Klasa,Procent
1,21.11
2,78.89
3,0.00

Klasyfikacja annotatorów
Annotator 1
Klasa,Procent
1,12.40
2,67.74
3,19.86
Annotator 2
Klasa,Procent
1,30.23
2,54.51
3,15.26
Annotator 3
Klasa,Procent
1,37.87
2,58.55
3,3.58
Annotator 4
Klasa,Procent
1,28.78
2,56.89
3,14.33
