Klasyfikacja modelu
Klasa,Procent
1,59.89
2,40.11
3,0.00

Klasyfikacja annotatorów
Annotator 1
Klasa,Procent
1,63.51
2,35.31
3,1.18
Annotator 2
Klasa,Procent
1,90.59
2,9.03
3,0.38
Annotator 3
Klasa,Procent
1,92.95
2,7.05
3,0.00
Annotator 4
Klasa,Procent
1,90.27
2,9.35
3,0.38
